mine_name,country,latitude,longitude,confidence,source
Gold Quarry,United States,35.498766,-80.330303,medium,nominatim
Gold Ridge,Solomon Islands,,,none,none
Goldboro,Canada,45.18239,-61.652356,medium,nominatim
Golden Brew,"Nevada, U.S.A.",40.040217,-76.724497,medium,nominatim
Golden Chest,USA,40.026931,-105.469441,high,nominatim
Golden Dome,"Nevada, U.S.A.",41.71048,-121.513478,medium,nominatim
Golden Ibex,"USA, Oregon",,,none,none
Golden Queen,United States,34.986917,-118.189798,high,nominatim
Golden Sidewalk,Canada (Ontario),,,none,none
Goldex,Canada,48.091901,-77.864242,high,nominatim
Goldfields Hub (Laverton + Menzies),Australia,,,none,none
Goldfield,United States,33.456607,-111.492458,high,nominatim
Goldlund,Canada,,,none,none
Goldstrike,United States,41.159,-116.056,high,nominatim
Goliath Gold Complex,Canada,,,none,none
Goodfish Kirana,"Kirkland Lake, Canada",,,none,none
Goodpaster - 64 North - East Pogo,"USA, Alaska",,,none,none
Goodpaster - 64 North - West Pogo,"USA, Alaska",,,none,none
Goodpaster - LMS,"USA, Alaska",,,none,none
Goose,Canada,53.296134,-60.40884,medium,nominatim
Gorontalo Minerals,Indonesia,0.54694,123.094151,high,nominatim
Gramalote,Colombia,7.915523,-72.786597,medium,nominatim
Grand Bois & Surrounding Properties,Haiti,,,none,none
Grand Bois,Haiti,18.226109,-71.796689,medium,nominatim
Granite Creek,United States,46.652158,-112.162784,high,nominatim
Granite Creek,USA,46.652158,-112.162784,high,nominatim
Granny Smith,Australia,-28.813077,122.418502,high,nominatim
Grasset,Canada,45.55126,-73.633303,medium,nominatim
Grassy Mountain,USA,35.850122,-82.099561,medium,nominatim
Great Bear,Canada,65.913925,-120.380181,medium,nominatim
Great Cobar,Australia,-31.49815,145.842571,medium,nominatim
Green Dam,Australia,-37.777132,145.22225,medium,nominatim
Green Springs,"Nevada, U.S.A.",41.256165,-83.051583,medium,nominatim
Greens Creek,USA (Alaska),58.081256,-134.645842,high,nominatim
Greenstone,Canada,49.673066,-86.958559,high,nominatim
Greenstone,Canada (Ontario),49.673066,-86.958559,high,nominatim
Gruyere,Australia,-27.994079,123.862567,high,nominatim
Guadalupe-Palmarejo,Mexico,,,none,none
Gualcamayo,Argentina,-29.753361,-68.757882,medium,nominatim
Guanaceví,Mexico,26.043518,-106.114397,medium,nominatim
Gurupi (CentroGold),"Para, Brazil",,,none,none
Głogów Głęboki-Przemysłowy,Poland,,,none,none
Hackett River,Canada (Nunavut),58.256696,-131.791901,medium,nominatim
Haile,United States,34.584576,-80.508889,high,nominatim
Halls Creek / Mt Angelo North 1.5% NSR,Australia,,,none,none
Hammerdown,Canada,,,none,none
Hammond Reef,Canada,,,none,none
Hardshell Skarn,Arizona,,,none,none
Hardshell Skarn,"USA, Arizona",,,none,none
Havieron,Australia,-21.726053,122.634333,medium,nominatim
Hawkins,Canada,54.753911,-94.73505,medium,nominatim
Hemco Property — Panama & Pioneer Mines,Nicaragua,,,none,none
Hemco Property — Porvenir Project,Nicaragua,,,none,none
Hemi,Australia,-35.005847,138.567538,medium,nominatim
Hemlo,Canada,48.683619,-85.984966,medium,nominatim
Henty,Australia,-41.874119,145.551662,high,nominatim
Hera,Australia,-33.774842,150.979647,medium,nominatim
Hermosa (Taylor),USA,,,none,none
Herradura,Mexico,20.600385,-103.223761,medium,nominatim
Hidden Valley,Papua New Guinea,-7.214085,146.526449,medium,nominatim
Higginsville (Dry Creek),Australia,,,none,none
Himmetdede,Türkiye,38.908592,35.083842,medium,nominatim
Hod Maden,Türkiye,40.978281,41.831071,medium,nominatim
Holleton,Australia,-31.922686,119.000663,high,nominatim
Homathko,Canada,50.934529,-124.844126,medium,nominatim
Honghuagou Gold Mine,China,,,none,none
Hope Bay,Canada,68.137743,-106.610122,high,nominatim
Hope Brook,Canada,47.737971,-58.083129,high,nominatim
Horne 5,Canada,43.704912,-79.763392,medium,nominatim
Horseshoe Lights,Australia,-25.540558,118.652164,medium,nominatim
Houndé,Burkina Faso,11.426983,-3.535245,high,nominatim
Hoyle Pond Extension,"Timmins, Canada",,,none,none
Huaron,Peru,-8.890436,-78.150282,medium,nominatim
Hugo North Extension and Heruga,Mongolia,,,none,none
Hunchun Zijin,China (Jilin),,,none,none
Hunter 1-12,"Canada, British Columbia",43.270527,-79.94186,low,nominatim
Hycroft,USA,40.876226,-118.681935,high,nominatim
Iduapriem,Ghana,5.25706,-2.007969,high,nominatim
Impala Bafokeng,South Africa,-25.533735,27.200905,high,nominatim
Independence,"USA, Idaho",47.196509,-120.924804,high,nominatim
Inmaculada,Peru,-11.946347,-77.069135,medium,nominatim
Island Gold District (Island Gold + Magino),Canada,,,none,none
Island Gold District,Canada,,,none,none
Ity,Côte d'Ivoire,6.853084,-8.115551,high,nominatim
Jabal Sayid,Saudi Arabia,23.847949,40.938628,high,nominatim
Jacknife,"USA, Idaho",43.084533,-89.370689,medium,nominatim
Jacobina,Brazil,-11.066676,-40.669169,medium,nominatim
Janet Ivy,Australia,-30.774701,121.36252,high,nominatim
Janice Lake,Canada,51.793273,-123.559701,medium,nominatim
Jasikovo East - Durlan Potok,Serbia,,,none,none
Jasper Hills,Australia,-33.76273,150.980989,medium,nominatim
Jean Lake,"Canada, Ontario",54.832754,-99.755233,medium,nominatim
Jerritt Canyon,USA,41.408797,-115.99064,high,nominatim
Jerritt Canyon,USA (Nevada),41.408797,-115.99064,high,nominatim
Jersey Valley,"Nevada, U.S.A.",34.715921,-101.275133,low,nominatim
Jiama,China (Tibet),,,none,none
Jilau and Taror,Tajikistan,,,none,none
Jinchiling Gold Mine,China,,,none,none
Jintingling Mining,China,,,none,none
Jinwang Mining,China,,,none,none
Jinzhi Mining,China,,,none,none
Joaquin Mine,"Santa Cruz, Argentina",,,none,none
Joaquin Silver-Gold Project,Argentina,,,none,none
Joel,South Africa,-28.743586,24.787086,medium,nominatim
Johnson Camp Mine,United States,,,none,none
Johnson Range Gold Project,Australia,,,none,none
Josemaria,Argentina,-28.434152,-69.547333,high,nominatim
Juanicipio,Mexico,23.131764,-102.949156,high,nominatim
Julcani,Peru,,,none,none
Julong,China (Tibet),,,none,none
Juncal,Chile,-34.161156,-70.704067,medium,nominatim
Jundee,Australia,-26.367372,120.598456,high,nominatim
Kainantu,Papua New Guinea,-6.290775,145.867877,medium,nominatim
Kal East,Australia,,,none,none
Kalgold,South Africa,-26.18058,25.25154,high,nominatim
Kalgoorlie Operations,Australia,,,none,none
Kamoa,Democratic Republic of the Congo,-10.776186,25.258265,high,nominatim
Kangaroo Caves,,,,none,none
Kanmantoo,Australia,-35.088751,138.995172,high,nominatim
Kansanshi,Zambia,-12.156801,26.420204,high,nominatim
Karapınar (Çanakkale),Türkiye,40.001915,26.541404,medium,nominatim
Karlawinda,Australia,-23.773709,120.136098,high,nominatim
Katanning Gold Project,Australia,,,none,none
Kaukua,Finland,,,none,none
Kaymaz (via Türk Altın),Türkiye,,,none,none
Kaymaz,Türkiye,40.92343,30.265496,medium,nominatim
Kaşköy (Kayseri),Türkiye,38.891344,35.050615,medium,nominatim
KCGM,Australia,,,none,none
Kelgold Project,Malaysia,,,none,none
Kelly Well,Australia,,,none,none
Kemess,Canada,57.010333,-126.737504,high,nominatim
Kenbridge,Canada,,,none,none
Keno Hill,Canada (Yukon),63.9,-135.3,medium,nominatim
Kensington,United States,58.864722,-135.081667,high,nominatim
Kensington,USA (Alaska),58.864722,-135.081667,high,nominatim
Kevitsa,Finland,67.696361,26.963144,medium,nominatim
Keystone,USA,44.445198,-114.333122,high,nominatim
Khoemacau,Botswana,-20.634644,23.196964,medium,nominatim
Kiaka,Burkina Faso,,,none,none
Kibali,Democratic Republic of the Congo,3.061271,29.774011,medium,nominatim
Kiena,Canada,48.122692,-77.910228,medium,nominatim
Kings Canyon,"Utah, U.S.A.",40.926919,-106.201965,high,nominatim
Kiniero Gold Mine,Guinea,,,none,none
Kirkland Lake,Canada,48.139936,-80.073413,high,nominatim
Kirkland-Hudson,"Kirkland Lake, Canada",,,none,none
Kisladağ,Turkey,,,none,none
Kitsault Valley (KV) Project (Dolly Varden + Homestake Ridge),Canada,,,none,none
Kittila,Finland,67.914551,25.401552,high,nominatim
Klippen,Sweden,63.37591,17.990284,medium,nominatim
Kolpa,Peru,-4.225132,-69.956628,medium,nominatim
Konak (Konaklı Metal),Türkiye,,,none,none
Koné,Côte d'Ivoire,5.469633,-4.035135,medium,nominatim
Kookynie (Consolidated Gold) A$1/t ore PR (with gold grade Gold,Australia,,,none,none
Kookynie (Melita),Australia,,,none,none
Kookynie (Wolski),Australia,,,none,none
Koolyanobbing (part of Deception & Altair pits),Australia,,,none,none
Koonenberry,"Australia, Queensland",-30.50013,142.29886,medium,nominatim
Korali-Sud,Mali,,,none,none
KSM,Canada,,,none,none
Kudz Ze Kayah (ABM Mine),Canada,,,none,none
Kudz Ze Kayah,Canada,,,none,none
Kukasjarvi,Sweden,66.134112,23.253442,medium,nominatim
Kunanalling,Australia,-30.722501,121.452681,medium,nominatim
Kuranakh,Russia,,,none,none
Kurmuk,Ethiopia,10.55688,34.296067,medium,nominatim
Kusasalethu,South Africa,-26.301119,27.933861,medium,nominatim
Kutcho,Canada,58.180551,-128.497223,medium,nominatim
Kwai,"Canada, Ontario",49.697471,-125.337492,medium,nominatim
Kylylahti,Finland,62.848007,29.335628,medium,nominatim
La Arena,Peru,-5.312805,-80.76852,medium,nominatim
La Cigarra,Mexico (Chihuahua),29.195348,-110.184031,medium,nominatim
La Coipa,Chile,-30.851838,-70.986225,medium,nominatim
La Colorada,Mexico,28.801293,-110.569256,high,nominatim
La Encantada,Mexico,23.904295,-99.795622,medium,nominatim
La Fortuna,"Durango, Mexico",21.550332,-104.947665,medium,nominatim
La Guitarra,Mexico,18.820532,-100.162562,medium,nominatim
La Joya,Mexico,18.889332,-99.124507,medium,nominatim
La Luz,Mexico,25.633537,-103.610131,medium,nominatim
La Miel,Haiti,,,none,none
La Mina,Colombia,6.343805,-76.213579,high,nominatim
La Mine,Haiti,,,none,none
La Parrilla,Mexico,23.748348,-104.110007,medium,nominatim
La Pepa Project,Chile,,,none,none
La Preciosa,Mexico,19.369711,-97.387603,high,nominatim
La Zanja,Peru,-6.835827,-78.918315,medium,nominatim
Lac Pelletier,"Quebec, Canada",49.920493,-107.848656,medium,nominatim
Lac Virot,Canada,52.956835,-67.194659,medium,nominatim
Lafigué,Côte d'Ivoire,8.293206,-4.621657,medium,nominatim
Lake Johnston Processing Facility,Australia,,,none,none
Lamaque Complex,Canada,,,none,none
Lama,Argentina,-26.436536,-65.989403,medium,nominatim
Lang Lake,"Canada, Ontario",51.959644,-121.028234,medium,nominatim
Larder,Canada,48.058276,-79.695113,medium,nominatim
LaRonde Zone 5,Canada,48.256672,-78.416817,medium,nominatim
LaRonde,Canada,48.256672,-78.416817,high,nominatim
Las Animas,Chile,-29.898037,-71.247367,medium,nominatim
Las Chispas,Mexico,30.330949,-110.17067,high,nominatim
Laverton Operations,Australia,,,none,none
Laverton,Australia,-27.93965,125.444893,medium,nominatim
Lawyers-Ranch,Canada,,,none,none
Leeville,Nevada,40.917647,-116.314809,medium,nominatim
Leeville,United States,36.190888,-86.417493,medium,nominatim
Leeville,"USA, Nevada",36.190888,-86.417493,medium,nominatim
Lehman Butte,"USA, Idaho",43.962968,-113.836145,medium,nominatim
Leonora (King of the Hills + Darlot),Australia,,,none,none
Leonora Operations,Australia,,,none,none
Liangdang Zhaojin,China,,,none,none
Libby / Montanore,United States,,,none,none
Lihir,Papua New Guinea,-3.126557,152.636247,high,nominatim
Limpopo (Dwaalkop),South Africa,,,none,none
Limpopo (Messina),South Africa,-22.341773,30.046338,low,nominatim
Lindero,Argentina,-31.438154,-64.218226,medium,nominatim
Linge Mineral Resources,Indonesia,,,none,none
LION Ltd.,Sierra Leone,,,none,none
LIORC (Labrador Iron Ore Royalty),Canada,,,none,none
Lishan Mine,China,,,none,none
Livengood Gold Project,USA,65.502456,-148.517293,medium,nominatim
Lobo-Marte,Chile,,,none,none
Lone Tree,USA,40.825432,-117.2162,high,nominatim
Longlegged Lake,"Canada, Ontario",50.753258,-94.033438,medium,nominatim
Longnan Zijin,China (Gansu),,,none,none
Longxin Mining,China,,,none,none
Lord Byron,Australia,-27.294029,152.999117,medium,nominatim
Los Azules,Argentina,-31.355993,-69.443744,medium,nominatim
Los Filos,Mexico,,,none,none
Los Helados,Chile,-34.403266,-70.475785,medium,nominatim
Los Patos,Venezuela,8.833976,-67.374344,medium,nominatim
Los Ricos South,Mexico,,,none,none
Los Tambos,Peru,-6.798321,-79.835348,medium,nominatim
Loulo-Gounkoto,Mali,,,none,none
Lubin,Poland,53.8701,19.919524,high,nominatim
Lucky 7,"Canada, Ontario",54.495432,-128.472036,medium,nominatim
Lucky Friday,USA (Idaho),47.47081,-115.783167,high,nominatim
Lumwana,Zambia,-12.243872,25.864255,high,nominatim
Lunahuasi,Argentina,,,none,none
Luoyang Kunyu,China (Henan),,,none,none
Lynn Lake (MacLellan)(2),Canada,,,none,none
Lynn Lake (Nickel),Canada,,,none,none
Lynn Lake Project (Manitoba),Canada,,,none,none
Løkken,Norway,62.265045,10.645465,medium,nominatim
M18/Aguas Perdidas,Argentina,,,none,none
Macassa TH,Canada,43.224716,-79.845479,low,nominatim
Macassa,Canada,48.139936,-80.073413,high,nominatim
Maco Gold Mine,Philippines,7.384974,126.033438,medium,nominatim
Macraes,New Zealand,-45.373672,170.463363,high,nominatim
Mactung,Canada,,,none,none
Madsen,Canada,50.966667,-93.916667,medium,nominatim
Magallanes,Chile,-53.352752,-71.554778,medium,nominatim
Maggie Creek South,"USA, Nevada",33.697971,-78.892989,low,nominatim
Maggie Creek,"USA, Nevada",40.808526,-116.210915,high,nominatim
Magino,Canada,,,none,none
Maitland,USA,37.653345,-104.836933,high,nominatim
Mako 11-year gold stream (post-FY2025),Nicaragua,,,none,none
Mako Gold Mine,Senegal,12.847766,-12.432619,high,nominatim
Maligreen,Zimbabwe,,,none,none
Mana,Burkina Faso,11.991841,-3.409396,high,nominatim
Manh Choh,United States,63.189759,-142.893364,high,nominatim
Manitou Project,"Canada, Ontario",,,none,none
Mantos Blancos,Chile,-23.43272,-70.061524,medium,nominatim
Mara Rosa,Brazil,-14.014816,-49.177652,medium,nominatim
Marathon,Canada,48.720935,-86.371598,medium,nominatim
MARA,Argentina,-38.707941,-62.305745,medium,nominatim
Marban,Canada,49.121536,-123.930791,medium,nominatim
Marigold,United States,40.719599,-117.158149,high,nominatim
Marimaca MOD,Chile,,,none,none
Marmato,Colombia,5.475403,-75.598788,medium,nominatim
Marsden,Australia,-27.675547,153.103837,medium,nominatim
María,Mexico,25.696649,-100.241451,medium,nominatim
Masbate,Philippines,12.467971,123.396865,high,nominatim
Masimong,South Africa,-27.645337,27.191722,medium,nominatim
Mason,United States (Nevada),38.587774,-106.351969,high,nominatim
Mastra,Türkiye,,,none,none
Matupá,Brazil,-10.168324,-54.934619,medium,nominatim
Maude Lake,Canada,55.480157,-97.39541,medium,nominatim
McDonough,"Canada, Ontario",50.172257,-87.666894,medium,nominatim
McPhillamys,Australia,,,none,none
McVicar Lake,"Canada, Ontario",51.562935,-91.464926,medium,nominatim
Meadowbank,Canada,65.024699,-96.071168,high,nominatim
Media Luna,Mexico,21.819536,-102.782852,medium,nominatim
Meliadine,Canada,63.030724,-92.219229,high,nominatim
Memot,Cambodia,,,none,none
Mengkham Rare Earth Mine,Laos,,,none,none
Mercedes,Mexico,21.10659,-89.414147,medium,nominatim
Mercedes,Mexico (Sonora),21.10659,-89.414147,medium,nominatim
Merian,Suriname,5.097964,-54.549403,medium,nominatim
Merlin,Australia,-19.0,139.2,medium,nominatim
Meråker,Norway,63.396921,11.812487,medium,nominatim
Mesa Well,"USA, Arizona",35.214511,-108.907662,medium,nominatim
Mesquite,USA,33.056,-114.983,high,nominatim
Metates,Mexico,23.954966,-104.841179,medium,nominatim
Mexico exploration royalties (grouped),Mexico,,,none,none
Meyas Sand,Sudan,,,none,none
Millrose,Australia,-26.39992,120.953643,medium,nominatim
Milo,Australia,-29.281067,115.180335,medium,nominatim
Milpillas,Mexico,20.502067,-102.535247,medium,nominatim
Mine Waste Solutions,South Africa,-26.835859,26.798866,high,nominatim
Minera Florida,Chile,-34.044251,-71.037879,high,nominatim
Mineral Park,United States,39.317489,-106.084186,high,nominatim
Minosa (San Andrés),Honduras,,,none,none
Minxian Tianhao,China,,,none,none
Minyari Gold-Copper-Silver Project,Australia,,,none,none
Mirado Mine,"Kirkland Lake, Canada",,,none,none
Mjövattnet,Sweden,65.85512,22.938555,medium,nominatim
Moab Khotsong,South Africa,,,none,none
Mocoa,Colombia,1.146629,-76.648233,medium,nominatim
Mofjell - Mo-i-Rana,Norway,66.306426,14.141906,medium,nominatim
Mollakara,Türkiye,39.41775,43.584222,medium,nominatim
Montclerg,"Timmins, Canada",,,none,none
Monte do Carmo,Brazil,-10.764746,-48.112181,medium,nominatim
Moonlight (sold),United States (Nevada),,,none,none
Moose Ridge,"USA, Idaho",61.149688,-149.829575,medium,nominatim
Morila Gold Mine,Mali,11.681872,-6.853028,high,nominatim
Moss,Canada,43.678505,-79.34782,medium,nominatim
Moss,United States,39.495481,-117.07259,high,nominatim
Moss,USA,39.495481,-117.07259,high,nominatim
Motapa,Zimbabwe,-19.496034,28.554444,high,nominatim
Mount Cannindah,Australia,-24.926939,151.219915,medium,nominatim
Mount Milligan,Canada,55.123285,-123.998966,high,nominatim
Mount Monger,Australia,-31.013063,121.925905,high,nominatim
Mponeng,South Africa,-26.438043,27.431156,high,nominatim
MSG (Mineração Serra Grande),Brazil,,,none,none
Mt Boppy Gold Project,Australia,,,none,none
Mt Egerton Gold Project,Australia,,,none,none
Mt Gibson,Australia,-17.636111,145.208333,low,nominatim
Mt Ida,Australia,-29.097984,120.464814,medium,nominatim
Mt Magnet Hub,Australia,,,none,none
Mt Monger,Australia,-31.100747,122.034571,high,nominatim
Mt Pleasant,Australia,-30.502046,121.217758,medium,nominatim
Mt Rawdon,Australia,-25.266254,151.759809,medium,nominatim
Mt Samuel,Australia,-27.474871,152.945745,medium,nominatim
Mt Steadman,"Australia, Queensland",-25.456719,151.788071,low,nominatim
Mt Todd,Australia,-14.149775,132.115851,medium,nominatim
MTR Operation,South Africa,,,none,none
Mulatos District,Mexico,,,none,none
Muldoon,"USA, Idaho",37.444656,-108.000026,high,nominatim
Mungari,Australia,-30.860537,121.291693,medium,nominatim
Murchison Gold Project,Australia,,,none,none
Murchison Operations,Australia,,,none,none
Musselwhite,Canada,51.504377,-90.059301,high,nominatim
Mustajärvi,Finland,61.2355,26.979636,medium,nominatim
MWS,South Africa,,,none,none
Nabish Lake,"Canada, Ontario",,,none,none
Naica,Mexico,27.856223,-105.492323,medium,nominatim
Namdini,Ghana,10.652479,-0.660463,high,nominatim
Nampala Gold Mine,Mali,,,none,none
Natalka,Russia,,,none,none
Navidad,Argentina,-38.384324,-62.149926,medium,nominatim
Nechí Alluvial Property,Colombia,,,none,none
Nelligan Mining Complex,Canada,,,none,none
Nevada exploration royalties (grouped),United States (Nevada),,,none,none
Nevada Gold Mines (NGM),United States,,,none,none
Neves-Corvo,Portugal,37.574392,-7.970624,high,nominatim
New Afton,Canada,50.652324,-120.517916,medium,nominatim
New Bore,Australia,-30.806958,143.679353,medium,nominatim
New Luika,"Lupa Goldfields, Tanzania",,,none,none
Niblack,United States,55.066669,-132.147661,medium,nominatim
Nicaragua Operations (El Limon + La Libertad),Nicaragua,,,none,none
Njuggträskliden,Sweden,,,none,none
Noche Buena,Mexico,25.208839,-99.251956,medium,nominatim
Norseman Gold Project,Australia,,,none,none
Norte Abierto,Chile,-35.454569,-71.681889,medium,nominatim
North Amalgamated Kirkland,"Kirkland Lake, Canada",,,none,none
North Central,Haiti,,,none,none
North Island,Canada,58.251737,-103.564059,medium,nominatim
North Lanut Mine (JRBM),Indonesia,,,none,none
North Mara,Tanzania,-1.427438,34.554896,high,nominatim
North Pakwash,"Canada, Ontario",,,none,none
Northeast Mining,China,,,none,none
Northeast,Haiti,,,none,none
Northparkes,Australia,-32.917058,148.088714,medium,nominatim
Northshore West,"Ontario, Canada",46.479353,-80.016674,medium,nominatim
Northwest,Haiti,,,none,none
Norton Gold Fields,Australia,,,none,none
Norton,Australia,-33.835782,151.098247,medium,nominatim
Nottrask,Sweden,66.292463,22.682873,medium,nominatim
NP Placers,"USA, Nevada",,,none,none
Nub East,Canada,50.930687,-115.657867,medium,nominatim
Nueva Esperanza,Chile,-36.518387,-72.054357,medium,nominatim
NuevaUnion,Chile,,,none,none
NWT,Canada,62.427134,-114.419302,medium,nominatim
Nyanzaga,Tanzania,,,none,none
Obuasi,Ghana,6.211542,-1.689404,medium,nominatim
Ocampo,Mexico,19.585665,-100.324093,medium,nominatim
Oijarvi,Finland,65.631967,25.902778,medium,nominatim
Oko West,Guyana,,,none,none
Okvau,Cambodia,12.631385,106.785852,medium,nominatim
Old Highway,Australia,-22.739406,147.634694,high,nominatim
Olimpiada,Russia,,,none,none
Olympias,Greece,,,none,none
Omai (Wenot + Gilt),Guyana,,,none,none
Onças de Pitangui,Brazil,,,none,none
Opawica,Canada,49.460304,-75.302483,medium,nominatim
Ophir,"USA, Utah",46.005204,-112.545301,high,nominatim
Orcopampa,Peru,-15.136051,-72.285578,medium,nominatim
Orion,Mexico,25.738649,-100.22217,medium,nominatim
"Other Europe, Middle East and Africa (long tail)","Europe, Middle East and Africa",,,none,none
Other exploration royalties (grouped),Kenya / Colombia / Argentina,,,none,none
Other interests (grouped),Various,,,none,none
Other mining interests,Various,,,none,none
Other North America (long tail),United States/Canada,,,none,none
Other portfolio interests,Various,,,none,none
Other producing precious metals (long tail),Various,,,none,none
Other royalties,Various,,,none,none
Other royalty interests (long tail),Various,,,none,none
Other South and Central America (long tail),South and Central America,,,none,none
Other stream interests (long tail),Various,,,none,none
Other streams,Various,,,none,none
Otjikoto,Namibia,-19.992341,17.090588,high,nominatim
Otto Bore,Australia,-28.139654,121.016565,medium,nominatim
Ovacık (via Türk Altın),Türkiye,,,none,none
Ovacık,Türkiye,38.055707,34.766951,medium,nominatim
Oyu Tolgoi,Mongolia,43.142485,106.845835,medium,nominatim
Paciência (Santa Isabel),Brazil,,,none,none
Padcal,Philippines,,,none,none
Pakwash Lake,"Canada, Ontario",50.750348,-93.486832,medium,nominatim
Pallancata,Peru,-14.734534,-73.217722,medium,nominatim
Palmarejo,Mexico,21.105097,-103.126628,medium,nominatim
Pandora,South Africa,-25.823643,28.313606,medium,nominatim
Pani Gold Project,Indonesia,,,none,none
Panton,Australia,-26.63985,122.72823,medium,nominatim
Panuco,Mexico,22.080525,-98.232958,medium,nominatim
Pan,United States,37.871296,-114.607444,high,nominatim
Pan,USA,37.871296,-114.607444,high,nominatim
Paracatu,Brazil,-17.217406,-46.870751,high,nominatim
Parks Salyer – Sacaton,USA,,,none,none
Parral,Mexico,31.769282,-106.517309,medium,nominatim
Pascua-Lama,Chile/Argentina,-29.297867,-70.034213,high,nominatim
Paubacken,Sweden,64.813282,17.827927,medium,nominatim
Paulsens (Merlin),Australia,,,none,none
Paulsens,Australia,-22.577829,116.23534,high,nominatim
Peak Mine,Australia,-22.24953,148.192326,high,nominatim
Pedra Branca,Brazil,-5.455674,-39.716629,medium,nominatim
Pelangio Poirier,"Timmins, Canada",,,none,none
Penasquito,Mexico,24.637743,-101.698168,high,nominatim
Penjom Mine (JRGL),Malaysia,,,none,none
Perama Hill,Greece,,,none,none
Phoenix,South Africa,-28.772475,30.742983,high,nominatim
Phoenix,United States,40.518499,-117.1369,high,nominatim
Pickle Crow,Canada,51.5,-90.05,medium,nominatim
Pilar,Brazil,-18.40508,-46.826112,high,nominatim
Pilar,Brazil (Goiás),-18.40508,-46.826112,high,nominatim
Pilbara,Australia,-21.050494,118.897397,high,nominatim
Pilot Mountain,USA,36.385135,-80.467121,medium,nominatim
Pine Point,Canada,60.833333,-114.466667,medium,nominatim
Pine Valley,"Nevada, U.S.A.",32.841841,-116.515087,medium,nominatim
Pinnacle,Canada,49.891072,-97.146755,medium,nominatim
Pinos Altos,Mexico,24.949619,-105.162384,medium,nominatim
Pipestone,"Canada, Ontario",49.66951,-101.145089,medium,nominatim
Pitarrilla,Mexico,23.210585,-106.177239,medium,nominatim
Pitombeiras,Brazil,-4.746385,-41.21131,medium,nominatim
Platreef,South Africa,-24.08278,28.958482,high,nominatim
Plomosas,Mexico,23.071543,-105.468134,medium,nominatim
Plutonic East,Australia,,,none,none
Plutonic Gold Belt,Australia,,,none,none
Poboya Gold Project (CPM),Indonesia,,,none,none
Pogo,USA,64.429917,-144.898471,high,nominatim
Polkowice-Sieroszowice,Poland,,,none,none
Porco,Bolivia,-19.797625,-65.987689,high,nominatim
Porcupine Complex,Canada,,,none,none
Porcupine,Canada,48.494083,-81.167636,medium,nominatim
Porgera,Papua New Guinea,-5.464064,143.092165,high,nominatim
Portage River,"Canada, Quebec",47.255212,-65.801676,medium,nominatim
Prairie Creek,Canada (Northwest Territories),61.553818,-124.798405,high,nominatim
Primavera,Nicaragua,13.484053,-84.788092,medium,nominatim
Pucarana,Peru,,,none,none
Pueblo Viejo,Dominican Republic,18.401708,-70.767701,medium,nominatim
Puna,Argentina,-27.798054,-62.522439,medium,nominatim
Puquios,Chile,-18.174725,-69.74553,medium,nominatim
"Puruni Project (Tiger Creek, Peters Mine, Property B)",Guyana,,,none,none
Pyramid,"Canada, British Columbia",52.355911,-119.166113,medium,nominatim
Qinghe Mining,China,,,none,none
Queensland Gold,"Australia, Queensland",-28.024603,153.432161,medium,nominatim
Queensway,Canada,54.492378,-128.587826,medium,nominatim
Rainy River,Canada,48.820853,-92.699799,medium,nominatim
Rajapalot,Finland,,,none,none
Raygorodok,Kazakhstan,,,none,none
Rebecca-Roe,Australia,,,none,none
Red Chris,Canada,57.720774,-129.778333,high,nominatim
Red Hill,Australia,-21.749436,148.032708,high,nominatim
Red Hill,"Nevada, U.S.A.",33.398959,-89.254964,high,nominatim
Red Lake Gold - Duchess,"Canada, Ontario",,,none,none
Red Lake Gold - Gullrock Lake,"Canada, Ontario",,,none,none
Red Lake Gold - Red Lake,"Canada, Ontario",51.021321,-93.829165,medium,nominatim
Red Lake Gold - Tilly,"Canada, Ontario",,,none,none
Red Lake Gold 1,"Canada, Ontario",,,none,none
Red Lake,Canada,51.059674,-93.726085,high,nominatim
Reko Diq,Pakistan,28.9708,62.4333,medium,nominatim
Relief Canyon,USA,,,none,none
Reliquias,Peru,-8.978826,-74.633735,medium,nominatim
Ren,USA,35.808217,-76.776056,medium,nominatim
Richmond Hill,USA,31.938238,-81.303551,medium,nominatim
Riverina Underground,Australia,,,none,none
Robber Gulch,"USA, Idaho",41.177542,-123.846557,medium,nominatim
Robertson,USA,42.34444,-123.771993,high,nominatim
Robinson,United States,41.131889,-111.387975,high,nominatim
Robinson,USA,41.131889,-111.387975,high,nominatim
Rochester,USA (Nevada),46.939962,-110.730215,high,nominatim
Romina,Peru,-6.474758,-76.369644,high,nominatim
Ronda,"Ontario, Canada",44.779418,-63.357243,medium,nominatim
Rosebel,Suriname,5.088072,-55.219314,high,nominatim
Rosh Pinah,Namibia,-27.959252,16.762884,high,nominatim
Round Dam Open Pit,Australia,,,none,none
Round Mountain,United States,44.390726,-120.328158,high,nominatim
Roça Grande,Brazil,-21.596,-42.974002,high,nominatim
"Ruby Hill, Cove & Granite Creek",United States,,,none,none
Ruby Hill,USA,39.49104,-115.993114,high,nominatim
Rudna,Poland,51.510514,16.263701,high,nominatim
Ruihai Mining,China,,,none,none
Råna,Norway,66.439713,14.394593,medium,nominatim
Sabinas,Mexico,27.942464,-101.072781,medium,nominatim
