ticker,company,price_usd,price_as_of,market_cap_usd,shares_outstanding,revenue_usd,ebitda_usd,net_income_usd,total_debt_usd,cash_usd,net_debt_usd,fiscal_year,financial_source,notes
EDV,Endeavour Mining plc,59.9427,2026-09-25,,,4233900000.0,2079100000.0,,597500000.0,453300000.0,144200000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 endeavour-2025.txt,"price quoted in GBp (pence); EBITDA figure is EBITDA; debt: sum of debt line items: Lease liabilities 17 25.0 18.2 The accompanying no; Current portion of debt 9 42.4 51.2; Non-current Lease liabilities 17 63.8 31.8; Non-current portion of debt 554.5 1,060.0; market cap not computed: shares outstanding undisclosed"
EGO,Eldorado Gold Corporation,41.92,2026-09-25,8589806072.0,204909496,1818856000.0,727399000.0,504304000.0,62567000.0,869356000.0,-806789000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 eldorado-2025-40f.txt,"EBITDA figure is operating income (EBITDA undisclosed); debt: sum of debt line items: Current portion of lease liabilities 6,024 4,693; Current portion of debt 47,968 0; Lease liabilities 8,575 10,030; market cap computed as price x shares outstanding"
ELE,Elemental Royalty Corp.,,,,,,,,,,,2025,,no Yahoo quote (TSX-V:ELE / NASDAQ:ELEA not returned by Yahoo); no PDF or text file in report folder
EMAS,PT Merdeka Gold Resources Tbk,0.7625,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 emas-q1-2026-quarterly.txt,price 7625.0 IDR converted at 0.0001 USD/IDR; no financial statements found; market cap not computed: shares outstanding undisclosed
EMR,Emerald Resources NL,4.8852,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 6.95 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
EMX,EMX Royalty Corporation,,,,,,,,,,,2024,,no Yahoo quote (EMX.V/EMX not returned by Yahoo); no financial statements found
EQX,Equinox Gold Corp.,11.94,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 equinox-2025-mda.txt,no financial statements found; market cap not computed: shares outstanding undisclosed
EVN,Evolution Mining Limited,9.6368,2026-09-24,19573130060.0,2031090542,3907262245.0,2229106770.0,1036816160.0,995604430.0,947154938.0,48449491.0,2026,Yahoo Finance quote (2026-09-24) + FY2026 evn-2026.txt,"price 13.71 AUD converted at 0.7029 USD/AUD; statements in AUD; FX 0.7029 USD/AUD (Yahoo AUDUSD=X=0.7029, 2026-09-25); EBITDA figure is EBITDA; debt: sum of debt line items: Lease liabilities 15,510 29,416; Non-current liabilities Interest bearing liabiliti; Lease liabilities 20,331 16,237; market cap computed as price x shares outstanding"
EXK,Endeavour Silver Corp.,9.39,2026-09-25,2777181583.0,295759487,,-17700000.0,,11000000.0,215400000.0,-204400000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 exk-2025-40f.pdf,EBITDA figure is EBITDA; debt: sum of debt line items: Non-current loans payable 11 3.9 115.0; market cap computed as price x shares outstanding
FDR,Founders Metals Inc.,5.0699,2026-09-25,,,,,-7484744.0,,18205455.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 fdr-2025-fs.pdf,"price 7.17 CAD converted at 0.7071 USD/CAD; statements in CAD; FX 0.7071 USD/CAD (Yahoo CADUSD=X=0.7071, 2026-09-25); market cap not computed: shares outstanding undisclosed"
FF,First Mining Gold Corp.,0.594,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 0.84 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
FFX,Firefinch Limited,,,,,,,,,,,2023,,delisted from ASX 2024-06-28; no quote; report not obtained
FISH,Sailfish Royalty Corp.,5.6427,2026-09-25,,,3375267.0,,1714228.0,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 sailfish-2025-results.pdf,price 7.98 CAD converted at 0.7071 USD/CAD; market cap not computed: shares outstanding undisclosed
FMR,Future Mineral Resources Inc.,0.1838,2026-09-21,,,,,,,,,2025,Yahoo Finance quote (2026-09-21),price 0.26 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
FNV,Franco-Nevada Corporation,257.87,2026-09-25,49716998706.0,192798692,1822800000.0,1354200000.0,1112100000.0,,2024.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 franco-nevada-2025-40f.pdf,EBITDA figure is operating income (EBITDA undisclosed); market cap computed as price x shares outstanding
FPC,Falco Resources Ltd.,0.3924,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 0.555 CAD converted at 0.7071 USD/CAD; no usable text; market cap not computed: shares outstanding undisclosed
FRES,Fresnillo plc,38.2838,2026-09-25,,,4561231000.0,,1573829000.0,,521098000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 fresnillo-2025.txt,price quoted in GBp (pence); market cap not computed: shares outstanding undisclosed
FRS,Forrestania Resources Limited,0.2144,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 0.305 AUD converted at 0.7029 USD/AUD; no PDF or text file in report folder; market cap not computed: shares outstanding undisclosed
FSM,Fortuna Mining Corp.,11.69,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),no PDF or text file in report folder; market cap not computed: shares outstanding undisclosed
GTRE,G3 Goldfields Inc.,,,,,,,,,,,,,CSE listing pending; no quote; report not obtained
GAU,Galiano Gold Inc.,2.06,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 galiano-2025-q4-results.pdf,no financial statements found; market cap not computed: shares outstanding undisclosed
GFI,Gold Fields Limited,40.38,2026-09-25,,,,,,,2025.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 goldfields-fy2025-results-presentation.pdf,market cap not computed: shares outstanding undisclosed
GGD,GoGold Resources Inc.,3.1112,2026-09-25,1177429871.0,378443923,,,,,360.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 gogold-2025-q4-mda.txt,price 4.4 CAD converted at 0.7071 USD/CAD; market cap computed as price x shares outstanding
GGP,Greatland Resources Limited,7.5913,2026-09-24,,,2259372000.0,1330000000.0,4764285000.0,22184000.0,1286331000.0,-1264147000.0,2026,Yahoo Finance quote (2026-09-24) + FY2026 greatland-2026-ar.pdf,"price 10.8 AUD converted at 0.7029 USD/AUD; EBITDA figure is EBITDA; debt: sum of debt line items: Lease liabilities 16,218; Lease liabilities 5,966; market cap not computed: shares outstanding undisclosed"
GOLD,GoldMining Inc.,0.9829,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 1.39 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
GMD,Genesis Minerals Limited,5.3772,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24) + FY2026 gmd-june2026.txt,price 7.65 AUD converted at 0.7029 USD/AUD; no financial statements found; market cap not computed: shares outstanding undisclosed
GMIN,G Mining Ventures Corp.,35.8853,2026-09-25,,,,89448150.0,,,10.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 g-mining-2025-mda.txt,"price 50.75 CAD converted at 0.7071 USD/CAD; statements in CAD; FX 0.7071 USD/CAD (Yahoo CADUSD=X=0.7071, 2026-09-25); EBITDA figure is EBITDA; market cap not computed: shares outstanding undisclosed"
GROY,Gold Royalty Corp.,3.16,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 groy-2025-mda.txt,no financial statements found; market cap not computed: shares outstanding undisclosed
GSKR,Goldsky Resources Corp.,2.2415,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 3.17 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
GSVR,Guanajuato Silver Company Ltd.,0.3005,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 gsvr-2025-annual.txt,price 0.425 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
HL,Hecla Mining Company,18.19,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 hecla-2025-10k-full.txt,market cap not computed: shares outstanding undisclosed
HMMC,Hemlo Mining Corp.,,,,,,,,,,,2025,FY2025 hmmc-2025-q4-mda.txt (no market quote),"no Yahoo quote (TSX-V:HMMC); fundamentals blanked: report folder contains MD&A only, no financial statements; debt: sum of debt line items: Revolving Credit Facility as financial support for; due to $8.6 million of lease liabilities assumed f"
HMY,Harmony Gold Mining Company Limited,18.97,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 harmony-2025-20f.txt,no financial statements found; market cap not computed: shares outstanding undisclosed
